1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
156	-0.120056	6.765700	169.084000	0.004598	2.0
157	-0.519641	6.809069	168.820303	0.007785	2.0
158	-0.149905	6.852439	168.557428	0.002503	2.0
159	-0.099548	6.895809	168.295370	0.003027	2.2
160	-0.178439	6.939179	168.034126	0.003653	2.6
161	-0.460714	6.982549	167.773692	0.003490	2.1
162	-0.252269	7.025919	167.514063	0.003757	1.8
163	-0.109098	7.069289	167.255237	0.003412	2.1
164	-0.358208	7.112658	166.997210	0.004157	2.0
165	-0.193125	7.156028	166.739977	0.004899	1.9
166	-0.160546	7.199398	166.483536	0.002587	2.0
167	-0.317570	7.242768	166.227882	0.002829	2.4
168	-0.728024	7.286138	165.973013	0.016581	2.7
169	-0.382327	7.329508	165.718923	0.005786	2.4
170	-0.190790	7.372878	165.465611	0.005609	2.0
171	-0.207101	7.416248	165.213071	0.002956	2.1
172	-0.089792	7.459617	164.961302	0.004819	2.0
173	-0.206614	7.502987	164.710298	0.006098	1.9
174	-0.077674	7.546357	164.460057	0.002902	2.2
175	-0.094351	7.589727	164.210576	0.002999	2.3
176	-0.340528	7.633097	163.961850	0.008028	2.1
177	-0.186688	7.676467	163.713876	0.003275	2.1
178	-0.622572	7.719837	163.466652	0.005154	2.1
179	-0.167961	7.763207	163.220173	0.002653	2.0
180	-0.646268	7.806576	162.974436	0.006493	2.1
181	-0.277034	7.849946	162.729438	0.003261	1.9
182	-0.481546	7.893316	162.485175	0.005194	2.5
183	-0.397913	7.936686	162.241645	0.003036	2.2
184	-0.544099	7.980056	161.998843	0.008489	2.1
185	-0.274935	8.023426	161.756768	0.007038	2.1
186	-0.241373	8.066796	161.515414	0.002462	2.0
187	-0.125711	8.110165	161.274780	0.006703	2.0
188	-0.173136	8.153535	161.034862	0.003417	2.0
189	-0.247504	8.196905	160.795656	0.005836	2.0
190	-0.348079	8.240275	160.557160	0.004177	2.5
191	-0.570142	8.283645	160.319371	0.004581	2.2
192	-0.389235	8.327015	160.082285	0.006364	2.0
193	-0.437652	8.370385	159.845899	0.007401	2.1
194	-0.200320	8.413755	159.610210	0.004135	2.1
195	-0.418732	8.457124	159.375215	0.005954	2.1
196	-0.665941	8.500494	159.140911	0.009650	2.1
197	-0.223084	8.543864	158.907295	0.003794	2.1
198	-0.229089	8.587234	158.674364	0.005073	2.4
199	-0.287958	8.630604	158.442114	0.003953	2.1
200	-0.223934	8.673974	158.210544	0.006725	1.9
201	-0.564568	8.717344	157.979650	0.004167	2.1
202	-0.251601	8.760713	157.749428	0.006402	2.0
203	-0.680185	8.804083	157.519877	0.009825	2.1
204	-0.201519	8.847453	157.290992	0.004352	1.8
205	-0.257888	8.890823	157.062772	0.004447	2.2
206	-0.129172	8.934193	156.835213	0.004844	2.6
207	-0.156162	8.977563	156.608313	0.003213	2.0
208	-0.176597	9.020933	156.382068	0.005119	1.9
209	-0.160880	9.064303	156.156476	0.004566	2.0
210	-0.138739	9.107672	155.931533	0.002951	2.0
211	-0.120706	9.151042	155.707238	0.003669	2.0
212	-0.101162	9.194412	155.483588	0.002242	2.1
213	-0.263032	9.237782	155.260578	0.004701	2.8
214	-0.226685	9.281152	155.038208	0.005791	2.5
215	-0.298243	9.324522	154.816474	0.002673	2.3
216	-0.525242	9.367892	154.595373	0.005437	2.0
217	-0.495979	9.411262	154.374902	0.004687	2.0
218	-0.573471	9.454631	154.155060	0.006572	2.0
219	-0.614120	9.498001	153.935843	0.006800	2.0
220	-0.432644	9.541371	153.717248	0.004220	2.6
221	-0.245871	9.584741	153.499274	0.003240	2.4
222	-0.102427	9.628111	153.281916	0.003352	2.0
223	-0.311857	9.671481	153.065174	0.004488	2.1
224	-0.168648	9.714851	152.849043	0.003711	1.9
225	-0.488587	9.758220	152.633522	0.003479	2.1
226	-0.206918	9.801590	152.418608	0.003240	2.1
227	-0.451558	9.844960	152.204299	0.004489	2.1
228	-0.237558	9.888330	151.990591	0.004147	2.4
229	-0.609674	9.931700	151.777482	0.007973	2.1
230	-0.186602	9.975070	151.564970	0.005667	2.1
231	-0.279096	10.018440	151.353053	0.003068	2.1
232	-0.499149	10.061810	151.141727	0.006872	2.0
233	-0.173432	10.105179	150.930990	0.003051	2.0
234	-0.524164	10.148549	150.720841	0.007906	2.1
235	-0.492775	10.191919	150.511275	0.005957	2.5
236	-0.331736	10.235289	150.302292	0.003711	2.3
237	-0.078824	10.278659	150.093888	0.005993	2.0
238	-0.331021	10.322029	149.886062	0.003217	2.1
239	-0.411678	10.365399	149.678810	0.005140	2.1
240	-0.544926	10.408768	149.472130	0.005692	2.1
241	-0.285794	10.452138	149.266021	0.004396	2.1
242	-0.487020	10.495508	149.060479	0.003903	2.0
243	-0.316942	10.538878	148.855502	0.003385	2.6
244	-0.417997	10.582248	148.651088	0.005361	2.1
245	-0.617032	10.625618	148.447235	0.007596	2.0
246	-0.260121	10.668988	148.243941	0.005805	2.1
247	-0.093632	10.712358	148.041202	0.003596	2.1
248	-0.079395	10.755727	147.839017	0.003631	2.0
249	-0.427565	10.799097	147.637384	0.006436	2.0
250	-0.762752	10.842467	147.436300	0.010894	2.2
251	-0.432638	10.885837	147.235762	0.005837	2.5
252	-0.133140	10.929207	147.035770	0.004067	2.0
253	-0.755184	10.972577	146.836320	0.007461	2.1
254	-0.410707	11.015947	146.637411	0.004001	2.1
255	-0.243353	11.059317	146.439040	0.003045	2.1
256	-0.310707	11.102686	146.241205	0.005535	1.9
257	-0.287437	11.146056	146.043903	0.003765	2.1
258	-0.492844	11.189426	145.847133	0.008964	2.6
259	-0.299384	11.232796	145.650893	0.004643	2.3
260	-0.448972	11.276166	145.455180	0.007626	2.0
261	-0.187143	11.319536	145.259993	0.003883	2.1
262	-0.331112	11.362906	145.065328	0.003924	2.1
263	-0.190041	11.406275	144.871185	0.006928	2.0
264	-0.434040	11.449645	144.677561	0.006896	2.1
265	-0.280544	11.493015	144.484453	0.006055	2.2
266	-0.258517	11.536385	144.291860	0.004118	2.9
267	-0.267789	11.579755	144.099780	0.003718	2.4
268	-0.146942	11.623125	143.908211	0.002966	2.1
269	-0.353573	11.666495	143.717150	0.004089	2.0
270	-0.441521	11.709865	143.526596	0.003353	2.1
271	-0.553179	11.753234	143.336547	0.008774	2.1
272	-0.621416	11.796604	143.147000	0.006581	2.0
273	-0.203384	11.839974	142.957954	0.004972	2.6
274	-0.704004	11.883344	142.769407	0.006671	2.1
275	-0.168338	11.926714	142.581356	0.002998	2.3
276	-0.761902	11.970084	142.393800	0.007966	2.1
277	-0.086979	12.013454	142.206737	0.004032	2.1
278	-0.440479	12.056824	142.020165	0.005288	2.1
279	-0.268228	12.100193	141.834082	0.003329	2.1
280	-0.240921	12.143563	141.648485	0.002050	2.5
281	-0.155512	12.186933	141.463374	0.006396	5.9
282	-0.247174	12.230303	141.278746	0.003979	1.8
283	-0.498581	12.273673	141.094599	0.004991	1.9
284	-0.178854	12.317043	140.910932	0.003512	2.0
285	-0.228035	12.360413	140.727742	0.003953	1.7
286	-0.081251	12.403782	140.545028	0.002118	2.1
287	-0.399318	12.447152	140.362787	0.004903	2.3
288	-0.348250	12.490522	140.181019	0.003711	2.1
289	-0.220416	12.533892	139.999721	0.004067	1.9
290	-0.298977	12.577262	139.818891	0.002950	2.0
291	-0.206671	12.620632	139.638528	0.003634	2.0
292	-0.367861	12.664002	139.458629	0.008964	2.0
293	-0.384688	12.707372	139.279194	0.005741	2.0
294	-0.320584	12.750741	139.100219	0.004182	2.2
295	-0.353230	12.794111	138.921704	0.004102	2.3
