1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
251	-0.192433	0.035921	3.314345	0.016595	2.6
252	-0.163094	1.035921	3.163939	0.015263	2.6
253	-0.181516	0.071843	3.308695	0.006006	2.7
254	-0.179116	0.000000	3.320015	0.006020	2.9
255	-0.163583	0.423886	3.254326	0.006941	2.8
256	-0.175936	1.423487	3.109254	0.012934	2.4
257	-0.166372	2.423474	2.976514	0.006338	2.6
258	-0.197264	3.423473	2.854643	0.011572	2.6
259	-0.189199	4.420293	2.742703	0.011895	2.6
260	-0.173753	3.456215	2.850822	0.008450	2.9
261	-0.176351	4.054802	2.782712	0.004812	2.6
262	-0.178346	5.022625	2.679219	0.006387	2.5
263	-0.179802	4.064198	2.781669	0.007702	2.5
264	-0.192708	3.101515	2.892777	0.011862	2.6
265	-0.194152	3.335198	2.864999	0.004221	2.5
266	-0.181987	3.962667	2.792983	0.005216	2.9
267	-0.179408	4.933020	2.688476	0.008612	2.8
268	-0.178226	3.972376	2.791897	0.009636	2.5
269	-0.164638	4.876620	2.694336	0.006419	2.5
270	-0.173888	5.875706	2.594176	0.007749	2.4
271	-0.180077	6.874371	2.501233	0.004778	2.5
272	-0.190574	7.857991	2.415979	0.010925	2.7
273	-0.178351	8.783148	2.340931	0.009674	2.6
274	-0.186569	9.723421	2.269289	0.008674	2.4
275	-0.165280	8.777578	2.341369	0.007843	2.4
276	-0.172183	9.775694	2.265434	0.011906	2.4
277	-0.165825	10.775694	2.194140	0.007695	2.4
278	-0.178098	11.769493	2.127598	0.007495	2.4
279	-0.189200	12.769481	2.064595	0.005305	2.9
280	-0.175820	11.882256	2.120302	0.006182	3.0
281	-0.185574	11.017023	2.177601	0.002502	2.5
282	-0.176866	11.929617	2.117252	0.011140	2.4
283	-0.186765	11.179879	2.166581	0.016387	2.5
284	-0.189823	12.179879	2.101283	0.005378	2.4
285	-0.171298	13.179809	2.039810	0.007392	2.8
286	-0.180586	12.220024	2.098743	0.008897	2.5
287	-0.177658	11.255950	2.161471	0.011423	2.5
288	-0.189354	12.242264	2.097339	0.007051	2.5
289	-0.172852	13.230937	2.036763	0.005590	2.4
290	-0.187762	13.984361	1.992899	0.010416	2.4
291	-0.166224	14.980623	1.937718	0.005674	2.6
292	-0.186918	15.744296	1.897446	0.006944	2.5
293	-0.171023	14.858026	1.944343	0.009747	2.5
294	-0.174927	14.164293	1.982702	0.005315	2.5
295	-0.171259	13.200284	2.038589	0.006682	2.5
296	-0.189897	14.195502	1.980944	0.007708	2.4
297	-0.188157	13.232570	2.036666	0.007921	2.4
298	-0.195548	14.232440	1.978867	0.008260	2.8
299	-0.171667	15.101125	1.931250	0.007555	2.5
300	-0.176039	14.266777	1.976940	0.009767	2.5
301	-0.174486	15.250579	1.923288	0.009318	2.5
302	-0.153794	16.250579	1.871657	0.004357	2.4
303	-0.184814	15.330881	1.919037	0.008933	2.4
304	-0.193399	16.317596	1.868296	0.006412	2.8
305	-0.170834	17.191825	1.825530	0.009853	2.5
306	-0.188968	18.187430	1.779150	0.009646	2.4
307	-0.167634	19.169340	1.735660	0.010652	2.4
308	-0.174967	18.205276	1.778340	0.004984	2.4
309	-0.164702	18.344839	1.772032	0.009405	2.4
310	-0.189104	18.401577	1.769480	0.008343	2.4
311	-0.176334	19.401577	1.725683	0.004491	2.8
312	-0.171033	18.440361	1.767740	0.007964	2.4
313	-0.189311	17.656719	1.803575	0.010067	2.5
314	-0.170402	18.656715	1.758096	0.008447	2.4
315	-0.169864	19.656178	1.714876	0.007197	2.4
316	-0.165948	19.050714	1.740801	0.009494	2.5
317	-0.192802	19.343781	1.728155	0.011240	2.9
318	-0.164449	18.389508	1.770022	0.008475	2.8
319	-0.193766	18.235596	1.776966	0.008749	2.5
320	-0.174492	19.221459	1.733411	0.009203	2.4
321	-0.171106	18.257515	1.775974	0.006896	2.5
322	-0.174761	17.293668	1.820675	0.009165	2.5
323	-0.171381	16.334544	1.867448	0.010820	2.8
324	-0.182476	15.370466	1.916948	0.014624	2.5
325	-0.182575	16.370466	1.865653	0.009441	2.7
326	-0.200430	17.284384	1.821116	0.007566	2.4
327	-0.194165	16.320319	1.868159	0.003589	2.4
328	-0.185631	17.110235	1.829438	0.011483	2.5
329	-0.169310	16.385119	1.864921	0.004565	2.5
330	-0.171680	17.345756	1.818201	0.006176	2.8
331	-0.168855	18.308692	1.773661	0.011306	2.5
332	-0.176913	17.344614	1.818256	0.009517	2.4
333	-0.196175	18.343694	1.772083	0.009271	2.5
334	-0.185073	19.343693	1.728159	0.006900	2.4
335	-0.173769	18.379630	1.770466	0.004490	2.4
336	-0.181874	19.370570	1.727008	0.010170	2.9
337	-0.202968	18.428184	1.768286	0.009070	2.5
338	-0.178794	19.428182	1.724547	0.015569	2.4
339	-0.190696	20.428182	1.682920	0.007813	2.4
340	-0.192160	21.359902	1.645903	0.013488	2.4
341	-0.176991	21.235957	1.650733	0.017071	2.4
342	-0.155090	22.235957	1.612554	0.009485	2.4
343	-0.184673	21.271884	1.649330	0.005256	2.6
344	-0.181322	22.248066	1.612102	0.009336	2.4
345	-0.191014	21.541628	1.638873	0.012198	2.4
346	-0.150790	20.577760	1.676865	0.006188	2.4
347	-0.193015	19.916949	1.703947	0.005841	2.4
348	-0.201712	19.448415	1.723685	0.004358	2.4
349	-0.177866	18.886624	1.747962	0.008560	2.7
350	-0.189373	17.925984	1.791099	0.008241	2.4
351	-0.176294	16.961987	1.836582	0.006185	2.4
352	-0.182418	17.267319	1.821928	0.004297	2.4
353	-0.164179	16.582165	1.855143	0.009569	2.4
354	-0.171631	17.451001	1.813225	0.004716	2.4
355	-0.178204	17.434924	1.813983	0.006931	2.3
356	-0.172387	17.066110	1.831559	0.007961	2.8
357	-0.194103	18.064246	1.784760	0.008970	2.6
