1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
175	-1.176671	-1.231349	0.000109	53.320498	3700.033255	0.002306	0.000002	0.002418	1.9	1.1	3.6
176	-1.196488	-1.254742	0.000117	54.320498	3650.909402	0.001834	0.000002	0.001931	1.8	0.9	3.2
177	-1.179356	-1.234852	0.000111	55.320498	3603.072851	0.000987	0.000002	0.001155	2.0	0.9	3.5
178	-1.174591	-1.232352	0.000116	56.320498	3556.473658	0.001642	0.000002	0.001735	2.1	1.4	4.1
179	-1.164678	-1.220827	0.000112	57.320498	3511.064426	0.001525	0.000002	0.001658	2.0	1.0	3.6
180	-1.157797	-1.215702	0.000116	56.673979	3540.288753	0.001612	0.000002	0.001701	2.0	1.1	3.6
181	-1.182803	-1.238051	0.000110	56.027460	3570.003660	0.001730	0.000002	0.001788	2.0	1.1	3.6
182	-1.166367	-1.222328	0.000112	57.027460	3524.250490	0.001272	0.000002	0.001370	2.0	1.1	3.5
183	-1.169469	-1.226384	0.000114	56.380941	3553.695658	0.001731	0.000002	0.001889	2.7	1.0	4.2
184	-1.186404	-1.241760	0.000111	55.734422	3583.637000	0.001455	0.000002	0.001574	2.0	1.1	3.6
185	-1.203470	-1.257981	0.000109	55.087903	3614.087167	0.001301	0.000002	0.001331	1.8	0.9	3.3
186	-1.146793	-1.201434	0.000109	56.086774	3567.256773	0.002616	0.000002	0.002646	1.8	0.9	3.2
187	-1.164378	-1.221759	0.000115	57.084192	3521.689950	0.000717	0.000002	0.000897	1.9	1.6	4.1
188	-1.156398	-1.212427	0.000112	58.084192	3477.159055	0.000790	0.000002	0.000921	1.8	1.0	3.3
189	-1.176135	-1.231932	0.000112	57.442019	3505.625164	0.001346	0.000002	0.001378	1.9	1.0	3.3
190	-1.193094	-1.248857	0.000112	58.442003	3461.497760	0.000902	0.000002	0.000992	1.8	0.9	3.2
191	-1.176174	-1.231773	0.000111	57.795484	3489.899438	0.000843	0.000002	0.000986	1.9	1.0	3.5
192	-1.176157	-1.232116	0.000112	57.482318	3503.825077	0.001021	0.000002	0.001118	2.4	1.3	4.2
193	-1.155917	-1.211531	0.000111	56.843410	3532.583128	0.001180	0.000002	0.001288	1.8	1.1	3.4
194	-1.184301	-1.239765	0.000111	57.843410	3487.778075	0.001117	0.000002	0.001234	1.9	1.0	3.4
195	-1.179456	-1.235660	0.000112	57.196892	3516.614398	0.000930	0.000002	0.001031	1.9	0.9	3.3
196	-1.207869	-1.263885	0.000112	56.810820	3534.062693	0.000857	0.000002	0.000983	1.9	1.4	3.9
197	-1.148895	-1.204282	0.000111	56.164527	3563.662296	0.000788	0.000002	0.000920	2.1	1.0	3.7
198	-1.163336	-1.217615	0.000109	57.152624	3518.606285	0.001280	0.000002	0.001384	1.9	0.9	3.3
199	-1.179817	-1.237084	0.000115	56.506105	3547.956821	0.000893	0.000002	0.000991	1.8	1.0	3.4
